#Phrase	Sub-list	#rank	Spoken_Raw freq	Spoken Frequency <br>(per million words)	Written_Raw freq	Written Frequency <br>(per million words)	FTW
in terms of	Core	1	726	337	597	282	3.53
at the same time	Core	2	198	92	208	98	2.56
from the point of view	Core	3	23	11	30	14	2.44
in order to	Core	4	330	153	540	255	2.35
as well as	Core	5	147	68	539	255	2.08
part of the	Core	6	432	201	457	216	1.96
the fact that	Core	7	383	178	430	203	1.96
in other words	Core	8	315	146	188	89	1.9
the point of view of	Core	9	22	10	31	15	1.89
there is a	Core	10	307	143	472	223	1.72
as a result of	Core	11	57	26	158	75	1.58
this is a	Core	12	657	305	160	76	1.57
on the basis of	Core	13	50	23	174	82	1.5
a number of	Core	14	190	88	455	215	1.5
there is no	Core	15	107	50	391	185	1.45
point of view	Core	16	177	82	128	60	1.41
the number of	Core	17	171	79	521	246	1.38
the extent to which	Core	18	21	10	111	52	1.36
as a result	Core	19	131	61	264	125	1.35
in the case of	Core	20	68	32	286	135	1.32
whether or not	Core	21	128	59	172	81	1.31
the same time	Core	22	207	96	221	104	1.26
with respect to	Core	23	94	44	220	104	1.26
point of view of	Core	24	27	13	32	15	1.22
as a function of	Core	25	40	19	77	36	1.19
at the same	Core	26	235	109	248	117	1.19
the point of view	Core	27	36	17	32	15	1.13
in such a way	Core	28	28	13	41	19	1.11
the use of	Core	29	58	27	572	270	1.11
in other words the	Core	30	47	22	39	18	1.08
in terms of the	Core	31	120	56	142	67	1.07
more likely to	Core	32	91	42	161	76	1.06
likely to be	Core	33	79	37	243	115	1.03
in this case	Core	34	188	87	193	91	1.03
as opposed to	Core	35	115	53	84	40	1.02
the way in which	Core	36	59	27	82	39	0.94
based on the	Core	37	65	30	283	134	0.91
can be used	Core	38	27	13	189	89	0.87
the relationship between	Core	39	45	21	159	75	0.87
it is not	Core	40	71	33	398	188	0.81
and so on	Core	41	329	153	145	68	0.79
on the basis	Core	42	52	24	199	94	0.75
the difference between	Core	43	95	44	80	38	0.74
it may be	Core	44	96	45	184	87	0.72
the presence of	Core	45	46	21	276	130	0.7
in the sense that	Core	46	73	34	47	22	0.7
a variety of	Core	47	55	26	193	91	0.69
different types of	Core	48	51	24	59	28	0.69
extent to which	Core	49	21	10	114	54	0.66
exactly the same	Core	50	92	43	35	17	0.65
a series of	Core	51	50	23	184	87	0.63
in relation to	Core	52	25	12	192	91	0.63
it can be	Core	53	119	55	206	97	0.63
the case of	Core	54	84	39	356	168	0.62
in the case	Core	55	78	36	323	153	0.62
large number of	Core	56	21	10	75	35	0.62
that there is a	Core	57	49	23	87	41	0.61
to some extent	Core	58	56	26	39	18	0.6
that there is	Core	59	148	69	246	116	0.59
the real world	Core	60	41	19	38	18	0.57
is based on	Core	61	37	17	125	59	0.56
due to the	Core	62	45	21	269	127	0.55
ways in which	Core	63	49	23	79	37	0.54
an example of	Core	64	132	61	86	41	0.54
the fact that the	Core	65	32	15	122	58	0.54
referred to as	Core	66	24	11	66	31	0.52
may not be	Core	67	71	33	104	49	0.52
way in which	Core	68	96	45	114	54	0.51
it does not	Core	69	28	13	145	68	0.48
from the point of	Core	70	23	11	31	15	0.47
the development of	Core	71	57	26	256	121	0.46
in the same	Core	72	192	89	187	88	0.46
a result of	Core	73	70	33	182	86	0.46
the basis of	Core	74	58	27	229	108	0.45
the role of	Core	75	53	25	257	121	0.43
there may be	Core	76	57	26	67	32	0.43
difference between the	Core	77	33	15	70	33	0.42
between the two	Core	78	71	33	143	68	0.41
the size of the	Core	79	37	17	67	32	0.41
the importance of	Core	80	43	20	199	94	0.4
that there are	Core	81	136	63	134	63	0.39
as a function	Core	82	41	19	77	36	0.34
associated with the	Core	83	25	12	115	54	0.31
the amount of	Core	84	107	50	140	66	0.3
a function of	Core	85	74	34	128	60	0.29
as an example	Core	86	24	11	45	21	0.27
for example if	Core	87	42	20	41	19	0.26
such as the	Core	88	25	12	223	105	0.26
based on a	Core	89	35	16	76	36	0.26
as part of	Core	90	46	21	130	61	0.25
this is not	Core	91	145	67	132	62	0.25
in which the	Core	92	58	27	352	166	0.24
the effect of	Core	93	44	20	232	110	0.24
in response to	Core	94	30	14	121	57	0.22
related to the	Core	95	46	21	163	77	0.22
each of these	Core	96	51	24	70	33	0.21
the effects of	Core	97	39	18	211	100	0.21
terms of the	Core	98	125	58	168	79	0.2
we can see	Core	99	57	26	25	12	0.2
there are three	Core	100	22	10	31	15	0.2
for example the	Core	101	37	17	177	84	0.18
according to the	Core	102	42	20	149	70	0.18
the existence of	Core	103	31	14	133	63	0.18
the concept of	Core	104	46	21	149	70	0.18
in this way	Core	105	37	17	141	67	0.17
focus on the	Core	106	36	17	60	28	0.16
the nature of	Core	107	41	19	179	85	0.15
the context of	Core	108	32	15	189	89	0.15
a list of	Core	109	67	31	68	32	0.15
this type of	Core	110	39	18	84	40	0.14
such a way	Core	111	28	13	41	19	0.13
the ability to	Core	112	53	25	114	54	0.13
the idea that	Core	113	126	59	80	38	0.13
a set of	Core	114	45	21	145	68	0.11
other words the	Core	115	47	22	39	18	0.11
parts of the	Core	116	69	32	115	54	0.09
nature of the	Core	117	38	18	164	77	0.09
the level of	Core	118	67	31	163	77	0.05
this would be	Core	119	89	41	39	18	0.05
is that the	Core	120	252	117	200	94	0.04
is much more	Core	121	23	11	37	17	0.04
the same as	Core	122	95	44	85	40	0.04
to show that	Core	123	48	22	79	37	0.04
there is an	Core	124	44	20	87	41	0.03
the notion of	Core	125	39	18	104	49	0.03
in the sense	Core	126	112	52	81	38	0
in the context	Core	127	23	11	129	61	0
the process of	Core	128	80	37	145	68	-0.01
is not a	Core	129	93	43	171	81	-0.02
both of these	Core	130	49	23	25	12	-0.03
for example in	Core	131	24	11	77	36	-0.03
the part of the	Core	132	28	13	50	24	-0.05
the size of	Core	133	61	28	98	46	-0.06
the form of	Core	134	50	23	165	78	-0.06
the sum of	Core	135	39	18	66	31	-0.08
the reason for	Core	136	35	16	62	29	-0.09
a and b	Core	137	35	16	101	48	-0.1
that this is	Core	138	196	91	69	33	-0.11
fact that the	Core	139	36	17	133	63	-0.11
this is an	Core	140	117	54	40	19	-0.12
because it is	Core	141	48	22	86	41	-0.13
have the same	Core	142	81	38	48	23	-0.15
part of a	Core	143	42	20	103	49	-0.18
the question of	Core	144	52	24	136	64	-0.19
of these two	Core	145	38	18	43	20	-0.21
the value of	Core	146	35	16	126	60	-0.21
assume that the	Core	147	23	11	49	23	-0.21
size of the	Core	148	40	19	83	39	-0.21
in such a	Core	149	38	18	97	46	-0.21
the distribution of	Core	150	22	10	82	39	-0.22
of the same	Core	151	69	32	149	70	-0.22
the meaning of	Core	152	21	10	84	40	-0.23
view of the	Core	153	43	20	108	51	-0.23
each of the	Core	154	38	18	162	77	-0.24
which is not	Core	155	45	21	57	27	-0.25
the issue of	Core	156	35	16	76	36	-0.25
but this is	Core	157	93	43	51	24	-0.26
if this is	Core	158	87	40	44	21	-0.27
the rate of	Core	159	30	14	100	47	-0.27
that we are	Core	160	64	30	63	30	-0.31
with the same	Core	161	44	20	52	25	-0.31
the result of	Core	162	23	11	100	47	-0.31
the problem of	Core	163	41	19	117	55	-0.31
is to be	Core	164	35	16	181	85	-0.32
the study of	Core	165	25	12	124	59	-0.32
which is the	Core	166	153	71	72	34	-0.33
the definition of	Core	167	34	16	49	23	-0.33
here is that	Core	168	81	38	23	11	-0.35
from the point	Core	169	24	11	34	16	-0.35
a form of	Core	170	25	12	63	30	-0.36
the frequency of	Core	171	27	13	54	26	-0.37
the order of	Core	172	78	36	57	27	-0.37
the way that	Core	173	124	58	31	15	-0.37
function of the	Core	174	33	15	74	35	-0.37
of the two	Core	175	63	29	155	73	-0.39
different from the	Core	176	28	13	40	19	-0.39
the structure of	Core	177	31	14	76	36	-0.42
what are the	Core	178	130	60	27	13	-0.42
is that it	Core	179	95	44	100	47	-0.42
the way in	Core	180	65	30	84	40	-0.42
to use the	Core	181	58	27	88	42	-0.44
be the case	Core	182	32	15	35	17	-0.45
means that the	Core	183	28	13	52	25	-0.48
value of the	Core	184	27	13	71	34	-0.49
of the system	Core	185	34	16	86	41	-0.5
of view of	Core	186	28	13	39	18	-0.51
the work of	Core	187	24	11	107	51	-0.54
example of a	Core	188	49	23	27	13	-0.54
is the case	Core	189	29	13	53	25	-0.55
is that there	Core	190	49	23	40	19	-0.58
of the second	Core	191	32	15	67	32	-0.58
the change in	Core	192	32	15	36	17	-0.58
so that the	Core	193	81	38	120	57	-0.59
is not the	Core	194	58	27	118	56	-0.6
the area of	Core	195	23	11	50	24	-0.61
form of the	Core	196	23	11	63	30	-0.62
that is the	Core	197	140	65	111	52	-0.63
and in the	Core	198	116	54	180	85	-0.64
and the second	Core	199	43	20	34	16	-0.66
of the fact	Core	200	32	15	49	23	-0.67
the first is	Core	201	21	10	56	26	-0.7
that in the	Core	202	132	61	98	46	-0.77
and the same	Core	203	36	17	35	17	-0.84
out that the	Core	204	31	14	31	15	-0.91
the example of	Core	205	30	14	24	11	-0.93
that in a	Core	206	68	32	28	13	-1.08
is for the	Core	207	34	16	24	11	-1.29
on the other hand	Written	1	86	40	251	119	2.84
due to the fact that	Written	2	5	2	27	13	2.64
on the other hand the	Written	3	6	3	50	24	2.55
it should be noted	Written	4	0	0	36	17	2.51
it is not possible to	Written	5	1	0	31	15	2.44
a wide range of	Written	6	9	4	66	31	2.42
there are a number of	Written	7	11	5	30	14	2.41
in such a way that	Written	8	20	9	23	11	2.32
take into account the	Written	9	5	2	24	11	2.27
as can be seen	Written	10	0	0	32	15	1.79
it is clear that	Written	11	6	3	69	33	1.72
take into account	Written	12	17	8	41	19	1.7
can be used to	Written	13	11	5	95	45	1.64
in this paper we	Written	14	0	0	29	14	1.64
are likely to	Written	15	16	7	129	61	1.61
in the next section	Written	16	0	0	32	15	1.6
a large number of	Written	17	16	7	47	22	1.59
the united kingdom	Written	18	2	1	54	25	1.57
on the basis of the	Written	19	8	4	48	23	1.57
that there is no	Written	20	10	5	67	32	1.56
over a period of	Written	21	10	5	27	13	1.55
as a result of the	Written	22	11	5	35	17	1.55
can be seen in	Written	23	1	0	36	17	1.52
a wide range	Written	24	13	6	69	33	1.51
there are a number	Written	25	13	6	30	14	1.47
it is interesting to	Written	26	0	0	32	15	1.47
it is impossible to	Written	27	1	0	25	12	1.47
it is obvious that	Written	28	0	0	23	11	1.46
it is possible to	Written	29	5	2	101	48	1.46
it is not possible	Written	30	2	1	38	18	1.45
been carried out	Written	31	1	0	37	17	1.45
can be found in	Written	32	0	0	39	18	1.45
it is important to	Written	33	3	1	92	43	1.4
was carried out	Written	34	1	0	56	26	1.39
is likely to be	Written	35	7	3	81	38	1.38
