#phrase	#Rank	Spoken_Raw freq	Spoken_Freq per million	Written_Raw freq	Written_Freq per million	FTW
be able to	1	551	256	209	99	2.96
blah blah blah	2	62	29	0	0	2.92
this is the	3	732	340	127	60	2.77
you know what I mean	4	137	64	4	2	2.27
you can see	5	449	209	2	1	2.12
trying to figure out	6	41	19	2	1	2.05
a little bit about	7	101	47	0	0	2
does that make sense	8	63	29	0	0	1.99
you know what	9	491	228	4	2	1.99
the university of michigan	10	76	35	1	0	1.98
for those of you who	11	39	18	0	0	1.98
do you want me to	12	31	14	0	0	1.96
thank you very much	13	57	26	0	0	1.95
look at the	14	425	197	50	24	1.95
we're gonna talk about	15	42	20	0	0	1.95
talk a little bit	16	40	19	0	0	1.92
if you look at	17	173	80	0	0	1.89
and this is	18	533	248	43	20	1.87
if you look at the	19	58	27	0	0	1.8
no no no no	20	66	31	0	0	1.78
at the end of	21	191	89	128	60	1.74
we were talking about	22	49	23	0	0	1.65
in ann arbor	23	41	19	0	0	1.62
it turns out that	24	52	24	9	4	1.61
you need to	25	391	182	1	0	1.61
see what IÕm saying	26	36	17	0	0	1.6
take a look at	27	67	31	3	1	1.58
you have a	28	463	215	8	4	1.57
might be able to	29	43	20	12	6	1.56
at the end	30	295	137	140	66	1.48
you want to	31	369	171	14	7	1.46
to do with	32	356	165	91	43	1.44
nothing to do with	33	48	22	19	9	1.43
know what I mean	34	140	65	7	3	1.42
you look at	35	296	137	3	1	1.42
university of michigan	36	95	44	1	0	1.42
what IÕm talking about	37	29	13	0	0	1.41
the same thing	38	263	122	17	8	1.35
to look at	39	281	131	42	20	1.34
the end of	40	340	158	232	110	1.33
gonna be able to	41	38	18	0	0	1.32
we're talking about	42	132	61	0	0	1.28
to figure out what	43	26	12	2	1	1.27
so if you	44	365	170	1	0	1.24
so this is	45	373	173	0	0	1.23
if you want to	46	126	59	4	2	1.23
no no no	47	186	86	0	0	1.23
if you have	48	344	160	1	0	1.22
come up with a	49	36	17	2	1	1.21
we talked about	50	154	72	1	0	1.2
when you look at	51	47	22	1	0	1.2
in order to get	52	49	23	8	4	1.19
the end of the	53	190	88	124	59	1.19
oh my god	54	68	32	0	0	1.17
come up with	55	146	68	6	3	1.16
I was gonna say	56	56	26	0	0	1.16
and then you	57	366	170	2	1	1.16
a kind of	58	322	150	50	24	1.16
it doesn't matter	59	109	51	1	0	1.15
has to do with	60	67	31	7	3	1.14
you can look at	61	54	25	0	0	1.13
do you want me	62	34	16	0	0	1.12
little bit about	63	103	48	0	0	1.12
if you look	64	252	117	0	0	1.1
I just wanted to	65	60	28	0	0	1.1
you're talking about	66	123	57	0	0	1.08
what does that mean	67	48	22	0	0	1.08
the best way to	68	39	18	14	7	1.08
if you want	69	241	112	6	3	1.06
you know what i	70	158	73	4	2	1.05
we've talked about	71	52	24	1	0	1.05
we'll talk about	72	73	34	0	0	1.03
let me just	73	94	44	0	0	1.02
I was talking about	74	31	14	0	0	1.02
has to be	75	247	115	96	45	1.01
to talk about	76	201	93	20	9	1
it turns out	77	83	39	14	7	1
those of you who	78	58	27	1	0	0.99
you might want to	79	41	19	0	0	0.99
first of all	80	208	97	24	11	0.98
and so on and so	81	37	17	1	0	0.98
there was a	82	270	125	114	54	0.97
at the university of	83	47	22	18	8	0.97
yes yes yes	84	64	30	0	0	0.97
you can see that	85	96	45	1	0	0.96
I have a question	86	67	31	0	0	0.96
it has to be	87	80	37	13	6	0.93
we need to	88	220	102	64	30	0.92
what IÕm saying	89	125	58	0	0	0.92
you want me to	90	47	22	1	0	0.92
all sorts of	91	107	50	2	1	0.91
as you can see	92	44	20	0	0	0.9
to figure out	93	114	53	8	4	0.9
keep in mind	94	47	22	6	3	0.9
what do you mean	95	63	29	1	0	0.89
it looks like	96	143	66	2	1	0.88
let's look at	97	82	38	0	0	0.87
you look at the	98	89	41	0	0	0.87
to make sure	99	123	57	13	6	0.86
if you wanted to	100	41	19	0	0	0.85
make sure that	101	121	56	15	7	0.84
end up with	102	81	38	9	4	0.84
and you can see	103	85	39	0	0	0.84
came up with	104	67	31	2	1	0.84
doesn't have to be	105	36	17	0	0	0.83
I mean if you	106	88	41	0	0	0.83
you've got a	107	124	58	0	0	0.83
