#phrase	#rank	Spoken_Raw freq	Spoken_Freq per million	Written_Raw freq	Written_Freq per million	FTW
on the other hand	1	86	40	251	119	2.84
due to the fact that	2	5	2	27	13	2.64
on the other hand the	3	6	3	50	24	2.55
it should be noted	4	0	0	36	17	2.51
it is not possible to	5	1	0	31	15	2.44
a wide range of	6	9	4	66	31	2.42
there are a number of	7	11	5	30	14	2.41
in such a way that	8	20	9	23	11	2.32
take into account the	9	5	2	24	11	2.27
as can be seen	10	0	0	32	15	1.79
it is clear that	11	6	3	69	33	1.72
take into account	12	17	8	41	19	1.7
can be used to	13	11	5	95	45	1.64
in this paper we	14	0	0	29	14	1.64
are likely to	15	16	7	129	61	1.61
in the next section	16	0	0	32	15	1.6
a large number of	17	16	7	47	22	1.59
the united kingdom	18	2	1	54	25	1.57
on the basis of the	19	8	4	48	23	1.57
that there is no	20	10	5	67	32	1.56
over a period of	21	10	5	27	13	1.55
as a result of the	22	11	5	35	17	1.55
can be seen in	23	1	0	36	17	1.52
a wide range	24	13	6	69	33	1.51
there are a number	25	13	6	30	14	1.47
it is interesting to	26	0	0	32	15	1.47
it is impossible to	27	1	0	25	12	1.47
it is obvious that	28	0	0	23	11	1.46
it is possible to	29	5	2	101	48	1.46
it is not possible	30	2	1	38	18	1.45
been carried out	31	1	0	37	17	1.45
can be found in	32	0	0	39	18	1.45
it is important to	33	3	1	92	43	1.4
was carried out	34	1	0	56	26	1.39
is likely to be	35	7	3	81	38	1.38
wide range of	36	10	5	77	36	1.37
the same way as	37	10	5	32	15	1.37
due to the fact	38	5	2	27	13	1.36
in accordance with the	39	4	2	26	12	1.36
it is necessary to	40	2	1	56	26	1.35
the other hand	41	88	41	254	120	1.35
can be seen	42	12	6	185	87	1.35
it is likely that	43	0	0	39	18	1.31
such a way that	44	20	9	23	11	1.22
to carry out	45	16	7	62	29	1.22
it is possible that	46	1	0	40	19	1.22
with respect to the	47	13	6	78	37	1.2
give rise to	48	7	3	41	19	1.18
carried out by	49	4	2	43	20	1.17
whether or not the	50	6	3	38	18	1.13
in the present study	51	0	0	23	11	1.11
should be noted	52	0	0	38	18	1.07
be carried out	53	3	1	38	18	1.06
the other hand the	54	6	3	51	24	1.06
does not appear	55	3	1	27	13	1.04
his or her	56	6	3	71	34	1.01
is not possible to	57	1	0	32	15	0.99
