Lexical bundle	Category	Function	Sub-function	Dimension	Frequency in Classroom teaching	Frequency in Textbooks	Frequency in Conversation	Frequency in Academic prose
and I don't know 	Stance expression	Epistemic stance	–	Personal	40–99	–	10–19	–
and I think that 	Stance expression	Epistemic stance	–	Personal	40–99	–	–	–
I don't know how 	Stance expression	Epistemic stance	–	Personal	40–99	–	40–99	–
I don't know I 	Stance expression	Epistemic stance	–	Personal	40–99	–	–	–
I don't know if 	Stance expression	Epistemic stance	–	Personal	40–99	–	40–99	–
I don't know what 	Stance expression	Epistemic stance	–	Personal	40–99	–	Over 100	–
I don't know whether 	Stance expression	Epistemic stance	–	Personal	–	–	40–99	–
I don't know why 	Stance expression	Epistemic stance	–	Personal	–	–	40–99	–
I don't think so 	Stance expression	Epistemic stance	–	Personal	20–39	–	40–99	–
I think it was 	Stance expression	Epistemic stance	–	Personal	40–99	–	40–99	–
I thought it was 	Stance expression	Epistemic stance	–	Personal	20–39	–	40–99	–
oh I don't know	Stance expression	Epistemic stance	–	Personal	–	–	40–99	–
well I don't know 	Stance expression	Epistemic stance	–	Personal	–	–	40–99	–
you know what I 	Stance expression	Epistemic stance	–	Personal	40–99	–	40–99	–
are more likely to	Stance expression	Epistemic stance	–	Impersonal	–	40–99	–	10–19
the fact that the	Stance expression	Epistemic stance	–	Impersonal	–	40–99	–	40–99
and you have to 	Stance expression	Attitudinal/modality stance	Obligation/directive	Personal	40–99	–	10–19	–
do you want me	Stance expression	Attitudinal/modality stance	Obligation/directive	Personal	–	–	40–99	–
going to have to 	Stance expression	Attitudinal/modality stance	Obligation/directive	Personal	40–99	–	40–99	–
I want you to 	Stance expression	Attitudinal/modality stance	Obligation/directive	Personal	Over 100	–	–	–
you don't have to 	Stance expression	Attitudinal/modality stance	Obligation/directive	Personal	40–99	–	40–99	–
you don't want to 	Stance expression	Attitudinal/modality stance	Obligation/directive	Personal	40–99	–	40–99	–
you have to be 	Stance expression	Attitudinal/modality stance	Obligation/directive	Personal	40–99	–	10–19	–
you have to do 	Stance expression	Attitudinal/modality stance	Obligation/directive	Personal	40–99	–	20–39	–
you look at the 	Stance expression	Attitudinal/modality stance	Obligation/directive	Personal	40–99	–	–	–
