phrase	band	rank	frequency	band_spoken_general	band_written_general	band_written_academic	example	flag
HAVE TO	1	107	83092	1	1	2	I exercise because I have to.	
THERE IS	1	165	59833	1	1	1	There are some problems.	
THERE ARE	1	165	59833	1	1	1	There are some problems.	
SUCH AS	1	415	30857	2	1	1	"We have questions, such as how it happened."	
GOING TO	1	463	28259	1	1	0	I’m going to think about it.	
OF COURSE	1	483	26966	1	1	3	He said he’d come of course.	
A FEW	1	489	26451	1	1	2	"After a few drinks, she started to dance."	
AT LEAST	1	518	25034	1	1	1	"Well, you could email me at least."	
SUCH A	1	551	23894	1	1	2	She had such a strange sense of humor. 	
SUCH AN	1	551	23894	1	1	2	She had such a strange sense of humor. 	
I MEAN	1	556	23616	1	0	0	"It’s fine, but, I mean, is it worth the price?"	
A LOT	1	598	22332	1	2	0	They go camping a lot in the summer.	
RATHER THAN	1	631	21085	1	1	1	"Children, rather than adults, tend to learn quickly."	
SO THAT	1	635	20966	1	1	2	Park it so that the wheels are curbed.	
A LITTLE	1	655	20296	1	1	2	I like to work out a little before dinner.	
A BIT	1	674	19618	1	1	0	There was a bit of drama today at the office.	
A BIT OF	1	674	19618	1	1	0	There was a bit of drama today at the office.	
AS WELL AS	1	717	18041	1	1	1	She jogs as well as swims. 	
IN FACT	1	803	15983	1	1	1	"The researchers tried several approaches, in fact."	
LIKELY TO	1	807	15854	1	1	1	"To be honest, I’m likely to forget."	
GO ON	1	825	15610	1	1	2	He went on for a while before stopping for lunch.	
IS TO 	1	845	15232	0	1	0	Obama is to address the media this afternoon.	
A NUMBER OF	1	854	15090	1	1	1	A number of concerns were raised.	
AT ALL	1	879	14650	1	1	1	Do you have any kids at all?	
AS IF	1	888	14470	1	1	0	They walked together as if no time had passed.	
USED TO	1	892	14411	1	2	0	It used to snow much more often.	
WAS TO 	1	894	14366	0	1	1	The message was to be transmitted worldwide.	
NOT ONLY	1	908	14110	1	1	1	"Not only was it cheap, it was delicious."	
THOSE WHO	1	913	13951	0	1	1	He would defend those who had no voice.	
DEAL WITH	1	934	13634	1	1	1	The police had several issues to deal with.	
LEAD TO	1	939	13555	2	1	1	Excessive smoking can lead to heart disease.	
SORT OF	1	951	13361	1	0	0	It’s sort of why I’m here.	
THE FOLLOWING	1	974	12963	0	2	1	He made the following remarks.	
IN ORDER TO	1	984	12762	1	1	1	We shared a room in order to reduce costs	
