phrase,Frequency Level,Rank,Frequency </br> (per million words),Spoken general,Written general,Written academic,Example sentence,,,,,,,
THERE IS,1-K,165,59833,___,___,___,There are some problems.,#N/A,,,,,,
SUCH AN,1-K,551,23894,___,___,__,She had such a strange sense of humor. ,#N/A,,,,,,
IS TO ,1-K,845,15232,–,___,–,Obama is to address the media this afternoon.,#N/A,,,,,,
WAS TO ,1-K,894,14366,–,___,___,The message was to be transmitted worldwide.,#N/A,,,,,,
HAVE GOT,1-K,988,12734,___,__,–,I don’t know what he has got planned.,#N/A,,,,,,
IN ADDITION TO,2-K,1453,7822,___,___,___,The house was well located in addition.,#N/A,,,,,,
THAT IS (REPHRASING),2-K,1764,5737,___,___,___,"It’s yours, as long as you pay that is.",#N/A,,,,,,
ON ONE'S OWN,2-K,1886,5240,___,___,__,You did this on your own?,#N/A,,,,,,
A GOOD DEAL,2-K,1920,5126,___,___,__,She means a great deal to me.,#N/A,,,,,,
IN THE SENSE THAT,2-K,2018,4805,___,___,___,It’s great in that there are so many restaurants.,#N/A,,,,,,
FIND ONESELF,3-K,2280,3917,___,___,__,I found myself driving home.,#N/A,,,,,,
IT TAKES,3-K,2384,3670,___,___,___,No matter what it takes.,#N/A,,,,,,
GET OFF,3-K,2388,3656,___,___,–,We waited for hours in the queue to get on.,#N/A,,,,,,
ON THE BASIS OF,3-K,2442,3515,__,___,___,She came on the basis that it would help her.,#N/A,,,,,,
SHAKE ONE’S HEAD,3-K,2548,3250,__,___,–,He just shook his head and laughed.,#N/A,,,,,,
IN THE EVENT OF,3-K,2658,2998,–,___,___,"In the event you change your mind, let me know.",#N/A,,,,,,
USED TO ,3-K,2752,2831,___,___,__,It may take a while to get used to.,#N/A,,,,,,
THAT'S IT,3-K,2831,2674,___,_,–,"That’s it for today, I’m afraid.",#N/A,,,,,,
IN CONTRAST TO,3-K,3149,2229,__,___,___,The inside was amazing in contrast.,#N/A,,,,,,
UP TO US,4-K,3534,1807,___,___,___,I’ll leave it up to you if that’s all right.,#N/A,,,,,,
UP TO HIM,4-K,3534,1807,___,___,___,I’ll leave it up to you if that’s all right.,#N/A,,,,,,
UP TO HER,4-K,3534,1807,___,___,___,I’ll leave it up to you if that’s all right.,#N/A,,,,,,
UP TO THEM,4-K,3534,1807,___,___,___,I’ll leave it up to you if that’s all right.,#N/A,,,,,,
IN RETURN FOR,4-K,3640,1720,___,___,___,In return I’d like to present you with this gift.,#N/A,,,,,,
BUT THEN AGAIN,4-K,3803,1589,___,___,–,"I went over budget, but then I expected I would.",#N/A,,,,,,
BEEN RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,#N/A,,,,,,
IS RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,#N/A,,,,,,
ARE RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,#N/A,,,,,,
WAS RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,#N/A,,,,,,
WERE RUN BY,4-K,3883,1540,___,___,___,The operation is run by two college students.,#N/A,,,,,,
I'M AFRAID,4-K,3947,1495,___,__,–,"It hasn’t arrived, I’m afraid.",#N/A,,,,,,
MAKE ONE’S WAY,4-K,4035,1446,__,___,–,The mouse made its way across the field.,#N/A,,,,,,
RUN OUT OF,4-K,4062,1430,___,___,–,You need to get milk before you run out.,#N/A,,,,,,
TO ME ('IN MY OPINION'),4-K,4201,1345,___,__,_,To me what matters is that it gets done.,#N/A,,,,,,
A GOOD (‘AT LEAST’),4-K,4259,1298,___,___,__,It took him a good six or seven years.,#N/A,,,,,,
TAKE FOR GRANTED,5-K,4587,1120,___,___,__,It’s just something I’ve always taken for granted.,#N/A,,,,,,
GET ON (‘RELATE’),5-K,5010,944,___,__,–,My parent don’t really get on very well.,#N/A,,,,,,
IN ONE’S OWN RIGHT,5-K,5156,891,___,___,___,Gesture is a form of expression in its own right.,#N/A,,,,,,
JUST AS (‘WHEN’),5-K,5231,869,___,___,–,I saw him just as he left.,#N/A,,,,,,
TO COME (FUTURE),5-K,5255,862,___,___,___,We’ll see how things go in the weeks to come.,#N/A,,,,,,
TO GO (‘REMAINING’),5-K,5463,801,___,___,–,Two more to go.,#N/A,,,,,,
MAKE UP ONE’S MIND,5-K,5502,788,___,___,–,You’d better make up your mind.,#N/A,,,,,,
YOU SEE,2-K,1532,7102,___,–,–,And the problem you see is with awareness-raising.,you see,,,,,,
YET TO,4-K,3525,1818,___,___,___,The package is yet to arrive.,yet to,,,,,,
YET ANOTHER,4-K,3939,1500,___,___,___,That’s yet another day gone by with nothing done.,yet another,,,,,,
WOULD YOU LIKE,5-K,4558,1133,___,__,–,Would you like tea?,would you like,,,,,,
WOULD SAY,3-K,3224,2128,___,___,___,"I don’t know, but I would say at least twenty.",would say,,,,,,
WOULD APPEAR,5-K,4710,1068,___,___,___,"They people have spoken, it would appear.",would appear,,,,,,
WORTH OF,4-K,4257,1299,___,___,–,Two dollars worth of wood was all he needed.,worth of,,,,,,
WORK OUT,3-K,2131,4432,___,___,___,I’m trying to work out what it stands for.,work out,,,,,,
WORK ON,2-K,1487,7600,___,___,__,That kid needs to work on his attitude.,work on,,,,,,
WITH RESPECT TO,4-K,4233,1325,__,___,___,She had nothing to add with respect to the report.,with respect to,,,,,,
WITH REGARD TO,3-K,2863,2630,__,___,___,There was some confusion with regard to payment.,with regard to,,,,,,
WITH A VIEW TO,5-K,5354,829,___,___,___,It was written with a view to inspiring hope.,with a view to,,,,,,
WHETHER OR NOT,3-K,2759,2824,__,___,___,It depends on whether or not he comes on time.,whether or not,,,,,,
WHEN IT COMES TO,5-K,4465,1188,___,___,___,I’m hopeless when it comes to goodbyes.,when it comes to,,,,,,
