phrase,Frequency Level,Rank,Frequency </br> (per million words),Spoken general,Written general,Written academic,Example sentence,,,,,,,
HAVE TO,1-K,107,83092,___,___,__,I exercise because I have to.,,,,,,,
THERE IS,1-K,165,59833,___,___,___,There are some problems.,,,,,,,
THERE ARE,1-K,165,59833,___,___,___,There are some problems.,,,,,,,
SUCH AS,1-K,415,30857,__,___,___,"We have questions, such as how it happened.",,,,,,,_
GOING TO,1-K,463,28259,___,___,–,I’m going to think about it.,,,,,,,
OF COURSE,1-K,483,26966,___,___,_,He said he’d come of course.,,,,,,,
A FEW,1-K,489,26451,___,___,__,"After a few drinks, she started to dance.",,,,,,,
AT LEAST,1-K,518,25034,___,___,___,"Well, you could email me at least.",,,,,,,
SUCH A,1-K,551,23894,___,___,__,She had such a strange sense of humor. ,,,,,,,
SUCH AN,1-K,551,23894,___,___,__,She had such a strange sense of humor. ,,,,,,,
I MEAN,1-K,556,23616,___,–,–,"It’s fine, but, I mean, is it worth the price?",,,,,,,
A LOT,1-K,598,22332,___,__,–,They go camping a lot in the summer.,,,,,,,
RATHER THAN,1-K,631,21085,___,___,___,"Children, rather than adults, tend to learn quickly.",,,,,,,
SO THAT,1-K,635,20966,___,___,__,Park it so that the wheels are curbed.,,,,,,,
A LITTLE,1-K,655,20296,___,___,__,I like to work out a little before dinner.,,,,,,,
A BIT,1-K,674,19618,___,___,–,There was a bit of drama today at the office.,,,,,,,
A BIT OF,1-K,674,19618,___,___,–,There was a bit of drama today at the office.,,,,,,,
AS WELL AS,1-K,717,18041,___,___,___,She jogs as well as swims. ,,,,,,,
IN FACT,1-K,803,15983,___,___,___,"The researchers tried several approaches, in fact.",,,,,,,
LIKELY TO,1-K,807,15854,___,___,___,"To be honest, I’m likely to forget.",,,,,,,
GO ON,1-K,825,15610,___,___,__,He went on for a while before stopping for lunch.,,,,,,,
IS TO ,1-K,845,15232,–,___,–,Obama is to address the media this afternoon.,,,,,,,
A NUMBER OF,1-K,854,15090,___,___,___,A number of concerns were raised.,,,,,,,
AT ALL,1-K,879,14650,___,___,___,Do you have any kids at all?,,,,,,,
AS IF,1-K,888,14470,___,___,–,They walked together as if no time had passed.,,,,,,,
USED TO,1-K,892,14411,___,__,–,It used to snow much more often.,,,,,,,
WAS TO ,1-K,894,14366,–,___,___,The message was to be transmitted worldwide.,,,,,,,
NOT ONLY,1-K,908,14110,___,___,___,"Not only was it cheap, it was delicious.",,,,,,,
THOSE WHO,1-K,913,13951,–,___,___,He would defend those who had no voice.,,,,,,,
DEAL WITH,1-K,934,13634,___,___,___,The police had several issues to deal with.,,,,,,,
LEAD TO,1-K,939,13555,__,___,___,Excessive smoking can lead to heart disease.,,,,,,,
SORT OF,1-K,951,13361,___,–,–,It’s sort of why I’m here.,,,,,,,
THE FOLLOWING,1-K,974,12963,–,__,___,He made the following remarks.,,,,,,,
IN ORDER TO,1-K,984,12762,___,___,___,We shared a room in order to reduce costs,,,,,,,
HAVE GOT,1-K,988,12734,___,__,–,I don’t know what he has got planned.,,,,,,,
HAVE GOT TO,2-K,1033,12270,___,___,–,You have got to try this salad.,,,,,,,
SET UP,2-K,1079,11560,___,___,___,The whole thing was set up beforehand.,,,,,,,
AS TO,2-K,1082,11535,__,___,___,There was some confusion as to its whereabouts.,,,,,,,
AS WELL,2-K,1083,11519,___,___,___,I like it as well.,,,,,,,
BASED ON,2-K,1088,11440,___,___,___,"Based on the reports, it seems it was an accident.",,,,,,,
CARRY OUT,2-K,1146,10753,__,___,___,It was not as easy to carry out without funding.,,,,,,,
